[2025-06-21 23:40:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 9, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-21T22:40:15.280000+00:00', 'pinned': False, 'nonce': '1386113519916679168', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-10-28T15:44:16.888000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1386113517349900299', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'tweet test4', 'components': [], 'channel_type': 0, 'channel_id': '1167851339066380361', 'author': {'username': 'lucasthebaguettetheif', 'public_flags': 256, 'primary_guild': None, 'id': '874047746854752286', 'global_name': 'LucasTheBaguetteThief', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'c6fdec9fac40338961ed194706319a70'}, 'attachments': [], 'guild_id': '1167851339066380358'}}
[2025-06-21 23:40:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-21 23:40:16] [DEBUG   ] discord.client: Dispatching event message
[2025-06-21 23:40:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 10, 'op': 0, 'd': {'id': '1386113517349900299', 'channel_id': '1167851339066380361', 'guild_id': '1167851339066380358'}}
[2025-06-21 23:40:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-21 23:40:16] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2025-06-21 23:40:16] [DEBUG   ] discord.client: Dispatching event message_delete
[2025-06-21 23:40:16] [DEBUG   ] discord.http: DELETE https://discord.com/api/v10/channels/1167851339066380361/messages/1386113517349900299 with None has returned 204
[2025-06-21 23:40:16] [DEBUG   ] discord.http: DELETE https://discord.com/api/v10/channels/1167851339066380361/messages/1386113517349900299 has received 
[2025-06-21 23:40:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 11, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-21T22:40:15.882000+00:00', 'pinned': False, 'nonce': '16104023752019817155', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1386098286175326250'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-21T21:39:43.946737+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1386113519874740394', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '** user** @user\ntweet test4', 'components': [], 'channel_type': 0, 'channel_id': '1167851339066380361', 'author': {'username': 'disctweet', 'public_flags': 0, 'primary_guild': None, 'id': '1386002700138975292', 'global_name': None, 'discriminator': '0456', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1167851339066380358'}}
[2025-06-21 23:40:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-21 23:40:16] [DEBUG   ] discord.client: Dispatching event message
[2025-06-21 23:40:16] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1167851339066380361/messages with {"content":"** user** @user\ntweet test4","components":[],"nonce":"16104023752019817155","enforce_nonce":true,"tts":false} has returned 200
[2025-06-21 23:40:16] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1167851339066380361/messages has received {'type': 0, 'content': '** user** @user\ntweet test4', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-06-21T22:40:15.882000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1386113519874740394', 'channel_id': '1167851339066380361', 'author': {'id': '1386002700138975292', 'username': 'disctweet', 'avatar': None, 'discriminator': '0456', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '16104023752019817155'}
